postcode;where
1230;'1230',
1231;'1231',
1232;'1232',
1233;'1233',
1234;'1234',
1235;'1235',
1236;'1236',
1237;'1237',
1238;'1238',
1239;'1239',
1240;'1240',
1241;'1241',
1242;'1242',
1243;'1243',
1244;'1244',
1245;'1245',
1246;'1246',
1247;'1247',
1248;'1248',
1249;'1249',
1250;'1250',
1391;'1391',
1393;'1393',
1396;'1396',
1426;'1426',
1427;'1427',
3400;'3400',
3401;'3401',
3402;'3402',
3403;'3403',
3404;'3404',
3405;'3405',
3411;'3411',
3412;'3412',
3413;'3413',
3415;'3415',
3417;'3417',
3421;'3421',
3425;'3425',
3430;'3430',
3431;'3431',
3432;'3432',
3433;'3433',
3434;'3434',
3435;'3435',
3436;'3436',
3437;'3437',
3438;'3438',
3439;'3439',
3441;'3441',
3442;'3442',
3443;'3443',
3444;'3444',
3445;'3445',
3446;'3446',
3447;'3447',
3448;'3448',
3449;'3449',
3450;'3450',
3451;'3451',
3455;'3455',
3460;'3460',
3461;'3461',
3464;'3464',
3467;'3467',
3470;'3470',
3471;'3471',
3472;'3472',
3473;'3473',
3474;'3474',
3475;'3475',
3476;'3476',
3477;'3477',
3478;'3478',
3479;'3479',
3480;'3480',
3481;'3481',
3600;'3600',
3601;'3601',
3602;'3602',
3603;'3603',
3604;'3604',
3605;'3605',
3606;'3606',
3607;'3607',
3608;'3608',
3609;'3609',
3610;'3610',
3611;'3611',
3612;'3612',
3613;'3613',
3614;'3614',
3620;'3620',
3621;'3621',
3625;'3625',
3626;'3626',
3628;'3628',
3631;'3631',
3632;'3632',
3633;'3633',
3634;'3634',
3641;'3641',
3642;'3642',
3643;'3643',
3645;'3645',
3646;'3646',
3648;'3648',
3651;'3651',
3652;'3652',
3653;'3653',
3740;'3740',
3741;'3741',
3742;'3742',
3743;'3743',
3744;'3744',
3745;'3745',
3746;'3746',
3747;'3747',
3748;'3748',
3749;'3749',
3750;'3750',
3751;'3751',
3752;'3752',
3753;'3753',
3754;'3754',
3755;'3755',
3760;'3760',
3761;'3761',
3762;'3762',
3763;'3763',
3764;'3764',
3765;'3765',
3766;'3766',
3767;'3767',
3768;'3768',
3769;'3769',
3790;'3790',
3791;'3791',
3800;'3800',
3801;'3801',
3802;'3802',
3803;'3803',
3804;'3804',
3805;'3805',
3806;'3806',
3807;'3807',
3808;'3808',
3809;'3809',
3810;'3810',
3811;'3811',
3812;'3812',
3813;'3813',
3814;'3814',
3815;'3815',
3816;'3816',
3817;'3817',
3818;'3818',
3819;'3819',
3820;'3820',
3821;'3821',
3822;'3822',
3823;'3823',
3824;'3824',
3825;'3825',
3826;'3826',
3827;'3827',
3828;'3828',
3829;'3829',
3831;'3831',
3832;'3832',
3833;'3833',
3834;'3834',
3835;'3835',
3836;'3836',
